district_name,total,below_6,below_6_percentage,between_6_and_18,between_6_and_18_percentage,between_18_and_65,between_18_and_65_percentage,above_65,above_65_percentage,eu_citizens,eu_citizens_percentage
Mitte,397134,21562,5.4,38828,9.8,285904,72,50840,12.8,45225,11.4
Friedrichshain-Kreuzberg,293454,15842,5.4,28128,9.6,218146,74.3,31338,10.7,29304,10
Pankow,424307,23722,5.6,49702,11.7,288306,67.9,62577,14.7,26155,6.2
Charlottenburg-Wilmersdorf,343081,16343,4.8,31041,9,216929,63.2,78768,23,26135,7.6
Spandau,257091,15377,6,31787,12.4,156652,60.9,53275,20.7,19571,7.6
Steglitz-Zehlendorf,310446,14513,4.7,34158,11,182632,58.8,79143,25.5,15809,5.1
Tempelhof-Schöneberg,355868,19388,5.4,36473,10.2,225373,63.3,74634,21,24040,6.8
Neukölln,330017,18596,5.6,35323,10.7,218925,66.3,57173,17.3,28178,8.5
Treptow-Köpenick,294081,17143,5.8,31112,10.6,185910,63.2,59916,20.4,13473,4.6
Marzahn-Hellersdorf,291948,17847,6.1,35996,12.3,175329,60.1,62776,21.5,13627,4.7
Lichtenberg,311881,19854,6.4,34881,11.2,198666,63.7,58480,18.8,16908,5.4
Reinickendorf,268792,14992,5.6,30874,11.5,161089,59.9,61837,23,17984,6.7
