age,total_2016_percentage,male_2016_percentage,female_2016_percentage,total_2011_percentage,male_2011_percentage,female_2011_percentage,2016_vs_2011_total,2016_vs_2011_male,2016_vs_2011_female
,Berlin-West,,,,,,,,
18 bis unter 21,3,3,2.9,2.9,3.2,2.7,0.1,-0.2,0.2
21 bis unter 25,4.9,5.1,4.8,5.4,5.6,5.3,-0.5,-0.5,-0.5
25 bis unter 30,8.2,8.4,8,7.3,7.6,7,0.9,0.8,1
30 bis unter 35,8.1,8.6,7.8,6.9,7.2,6.6,1.2,1.4,1.2
35 bis unter 40,7.1,7.7,6.6,6.2,6.6,5.9,0.9,1.1,0.7
40 bis unter 45,6.2,6.6,5.8,8.2,8.7,7.8,-2,-2.1,-2
45 bis unter 50,8,8.5,7.5,10.2,10.8,9.6,-2.2,-2.3,-2.1
50 bis unter 60,18.3,19.1,17.5,17,17.4,16.6,1.3,1.7,0.9
60 bis unter 70,14.5,14.4,14.6,16.2,16.3,16,-1.7,-1.9,-1.4
