age,total_2016_percentage,male_2016_percentage,female_2016_percentage,total_2011_percentage,male_2011_percentage,female_2011_percentage,2016_vs_2011_total,2016_vs_2011_male,2016_vs_2011_female
18 bis unter 21,2,2.0,2.0,2.0,2.1,1.9,0,-0.1,0.1
21 bis unter 25,3.3,3.3,3.3,6.9,6.9,6.9,-3.6,-3.6,-3.6
25 bis unter 30,8,8.3,7.9,10.2,10.1,10.3,-2.2,-1.8,-2.4
30 bis unter 35,8.7,9.3,8.2,10.2,10.8,9.7,-1.5,-1.5,-1.5
35 bis unter 40,8.5,9.1,8.0,7.6,8.4,6.8,0.9,0.7,1.2
40 bis unter 45,6.8,7.3,6.4,8.7,9.4,8.0,-1.9,-2.1,-1.6
45 bis unter 50,8,8.9,7.2,9.9,10.5,9.3,-1.9,-1.6,-2.1
50 bis unter 60,18.3,19.0,17.6,16.0,16.4,15.7,2.3,2.6,1.9
60 bis unter 70,14.6,14.4,14.8,11.8,11.4,12.1,2.8,3,2.7
70 und älter,21.7,18.5,24.6,16.7,13.9,19.4,5,4.6,5.2
