age,total_2016_percentage,male_2016_percentage,female_2016_percentage,total_2011_percentage,male_2011_percentage,female_2011_percentage,2016_vs_2011_total,2016_vs_2011_male,2016_vs_2011_female
18 bis unter 21,2.6,2.6,2.5,2.5,2.7,2.4,0.1,-0.1,0.1
21 bis unter 25,4.3,4.4,4.2,6,6.1,5.9,-1.7,-1.7,-1.7
25 bis unter 30,8.1,8.4,7.9,8.5,8.6,8.4,-0.4,-0.2,-0.5
30 bis unter 35,8.4,8.9,7.9,8.3,8.7,7.9,0.1,0.2,0
35 bis unter 40,7.7,8.3,7.2,6.8,7.4,6.3,0.9,0.9,0.9
40 bis unter 45,6.4,6.9,6,8.4,9,7.9,-2,-2.1,-1.9
45 bis unter 50,8,8.7,7.4,10.1,10.7,9.5,-2.1,-2,-2.1
50 bis unter 60,18.3,19.1,17.5,16.6,17,16.2,1.7,2.1,1.3
60 bis unter 70,14.6,14.4,14.7,14.3,14.2,14.4,0.3,0.2,0.3
70 und älter,21.7,18.5,24.5,18.4,15.4,21.2,3.3,3.1,3.3
