age,total_2016_percentage,male_2016_percentage,female_2016_percentage,total_2011_percentage,male_2011_percentage,female_2011_percentage,2016_vs_2011_total,2016_vs_2011_male,2016_vs_2011_female
18 bis unter 21,57.7,55.5,59.7,45.5,43.8,47.4,12.2,11.7,12.3
21 bis unter 25,53.2,53.1,53.2,44.7,44.3,45.1,8.5,8.8,8.1
25 bis unter 30,60.8,58.5,63.1,49.3,47.6,50.8,11.5,10.9,12.3
30 bis unter 35,64.3,62.8,65.8,55.5,55.1,56.0,8.8,7.7,9.8
35 bis unter 40,66.8,65.4,68.2,58.9,56.9,61.3,7.9,8.5,6.9
40 bis unter 45,71.5,69.7,73.2,60.7,60.4,61.0,10.8,9.3,12.2
45 bis unter 50,72.7,71.7,73.9,62.0,59.3,64.8,10.7,12.4,9.1
50 bis unter 60,70.7,70.0,71.5,60.3,59.8,60.9,10.4,10.2,10.6
60 bis unter 70,72.5,73.0,72.0,66.2,66.0,66.4,6.3,7.0,5.6
70 und älter,67.8,72.8,64.3,66.0,71.4,62.4,1.8,1.4,1.9
