feature,berlin_election_2011,berlin_election_2011_percentage,european_election_2014,european_election_2014_percentage,federal_election_2013,federal_election_2013_percentage
Wahlberechtigte,2469716,x,2519758,x,2505718,x
Wähler,1487487,60.2,1177832,46.7,1815415,72.5
Briefwähler,411209,27.6,335916,28.5,509121,28
Ungültige Stimmen,23992,1.6,18166,1.5,27694,1.5
Gültige Stimmen,1461185,98.4,1159666,98.5,1787721,98.5
davon,,,,,,
SPD,413332,28.3,278694,24,439387,24.6
CDU,341158,23.3,232274,20,508643,28.5
GRÜNE,257063,17.6,220998,19.1,220737,12.3
DIE LINKE,171050,11.7,188344,16.2,330507,18.5
PIRATEN,130105,8.9,37442,3.2,64018,3.6
FDP,26943,1.8,31953,2.8,63616,3.6
NPD,31241,2.1,11842,1,27014,1.5
AfD,x,x,91759,7.9,88060,4.9
Sonstige,90293,6.2,66360,5.7,45739,2.9
_____,,,,,,
1 Zweitstimmen,,,,,,
