district,total,female_total,female_percentage,eu_foreigners_total,eu_foreigners_percentage,between_16_and_18_total,between_16_and_18_percentage
Mitte,250576,121540,48.5,41372,16.5,4100,1.6
Friedrichshain-Kreuzberg,201854,99000,49.0,26509,13.1,3111,1.5
Pankow,311371,160535,51.6,19630,6.3,4817,1.5
Charlottenburg-Wilmersdorf,252164,132747,52.6,30121,11.9,4048,1.6
Spandau,179712,93868,52.2,12049,6.7,3979,2.2
Steglitz-Zehlendorf,237706,128337,54.0,13969,5.9,5015,2.1
Tempelhof-Schöneberg,261400,135898,52.0,21964,8.4,4821,1.8
Neukölln,236414,120810,51.1,27769,11.7,4640,2.0
Treptow-Köpenick,211791,109621,51.8,6111,2.9,3261,1.5
Marzahn-Hellersdorf,210849,107819,51.1,5352,2.5,3606,1.7
Lichtenberg,218333,111649,51.1,9769,4.5,2915,1.3
Reinickendorf,198962,103547,52.0,12389,6.2,4372,2.2
