district,total,migration_background_percentage,single_percentage,marriage_percentage,widowed_percentage,divorced_percentage,civil_partnership_percentage,evangelical_percentage,roman_catholic_percentage,simple_residential_area,medium_residential_area,good_residential_area
Mitte,205479.0,17.4,51.5,30.9,5.6,11.1,0.9,21.5,10.8,64.4,27.6,7.9
Friedrichshain-Kreuzberg,172345.0,13.3,60.0,26.1,3.9,9.0,1.0,18.4,9.6,60.0,39.2,0.7
Pankow,287006.0,4.2,45.6,37.0,6.0,10.8,0.6,14.5,6.6,27.6,59.7,12.5
Charlottenburg-Wilmersdorf,218256.0,14.4,39.0,38.9,7.7,13.4,1.0,26.8,11.5,3.9,27.6,68.4
Spandau,163889.0,13.4,32.5,44.9,9.3,13.1,0.3,30.1,9.4,61.4,36.8,1.8
Steglitz-Zehlendorf,218874.0,9.0,31.3,47.5,8.8,11.9,0.5,32.1,11.3,5.7,45.1,49.2
Tempelhof-Schöneberg,234834.0,13.6,38.3,40.8,7.8,12.0,1.0,28.1,11.4,27.7,49.6,22.7
Neukölln,204308.0,16.5,42.5,38.0,7.6,11.4,0.5,26.0,10.9,83.8,16.2,0.0
Treptow-Köpenick,202469.0,3.0,35.7,43.5,8.5,12.0,0.3,11.6,3.8,19.2,74.3,6.2
Marzahn-Hellersdorf,201978.0,6.1,33.8,46.0,6.9,13.0,0.3,8.9,3.1,41.4,55.8,2.6
Lichtenberg,205751.0,5.9,40.2,39.6,7.7,12.1,0.4,9.2,3.6,21.5,75.1,3.2
Reinickendorf,182436.0,11.0,31.0,46.9,9.4,12.5,0.3,30.6,9.9,46.3,39.7,14.0
