district,total,foreigners,foreigners_percentage,foreigners_from_eu_percentage,germans_total,germans_below_6,germans_below_6_percentage,germans_between_6_and_18,germans_between_6_and_18_percentage,germans_between_18_and_65,germans_between_18_and_65_percentage,germans_above_65,germans_above_65_percentage
Mitte,363236,113210,31.2,12.3,250026,17997,7.2,26550,10.6,165794,66.3,39685,15.9
Friedrichshain-Kreuzberg,278393,68366,24.6,10.0,210027,15853,7.5,21829,10.4,149835,71.3,22510,10.7
Pankow,389976,41620,10.7,5.4,348356,24805,7.1,36545,10.5,228989,65.7,58017,16.7
Charlottenburg-Wilmersdorf,330468,75870,23.0,9.7,254598,13052,5.1,23290,9.1,151671,59.6,66585,26.2
Spandau,234630,37207,15.9,6.0,197423,11413,5.8,22121,11.2,114801,58.1,49088,24.9
Steglitz-Zehlendorf,299765,38180,12.7,5.0,261585,13602,5.2,29109,11.1,146615,56.0,72259,27.6
Tempelhof-Schöneberg,341161,61489,18.0,6.9,279672,16169,5.8,28669,10.3,170886,61.1,63948,22.9
Neukölln,328062,79375,24.2,9.3,248687,16895,6.8,27484,11.1,153793,61.8,50515,20.3
Treptow-Köpenick,253333,16022,6.3,2.7,237311,13386,5.6,21456,9.0,144160,60.7,58309,24.6
Marzahn-Hellersdorf,259373,18410,7.1,2.5,240963,14726,6.1,24259,10.1,154826,64.3,47152,19.6
Lichtenberg,275142,33683,12.2,3.9,241459,14716,6.1,20992,8.7,151693,62.8,54058,22.4
Reinickendorf,256617,37643,14.7,5.5,218974,12330,5.6,24208,11.1,123940,56.6,58496,26.7
