age,total_2016_percentage,male_2016_percentage,female_2016_percentage,total_2011_percentage,male_2011_percentage,female_2011_percentage,2016_vs_2011_total,2016_vs_2011_male,2016_vs_2011_female
18 bis unter 21,11.3,9.8,12.7,8.3,8.3,8.2,3,1.5,4.5
21 bis unter 25,14,12.5,15.4,11.1,10.2,12,2.9,2.3,3.4
25 bis unter 30,16.4,14.5,18.2,11.6,10.2,12.9,4.8,4.3,5.3
30 bis unter 35,16.6,15.2,17.9,13.6,12.5,14.6,3,2.7,3.3
35 bis unter 40,15.5,14.8,16.3,13.7,13.5,13.9,1.8,1.3,2.4
40 bis unter 45,15.7,14.6,16.8,15,14.9,15.1,0.7,-0.3,1.7
45 bis unter 50,18.4,17.3,19.6,16.3,15.7,17,2.1,1.6,2.6
50 bis unter 60,22.4,20.8,24,19.3,18.2,20.5,3.1,2.6,3.5
60 bis unter 70,26.4,25.1,27.6,24.2,23.5,24.7,2.2,1.6,2.9
70 und älter,27.3,28,26.7,24.3,25.6,23.5,3,2.4,3.2
