feature,berlin_elections_2011,berlin_elections_2011_percentage,european_elections_2014,european_elections_2014_percentage,federal_election_2013,federal_election_2013_percentage
Wahlberechtigte               ,2469716,x,2519758.0,x,2505718.0,x
Wähler                        ,1487487,60.2,1177832.0,46.7,1815415.0,72.5
Briefwähler                  ,411209,27.6,335916.0,28.5,509121.0,28
Ungültige Stimmen,23992,1.6,18166.0,1.5,27694.0,1.5
Gültige Stimmen               ,1461185,98.4,1159666.0,98.5,1787721.0,98.5
SPD,413332,28.3,278694.0,24,439387.0,24.6
CDU,341158,23.3,232274.0,20,508643.0,28.5
GRÜNE,257063,17.6,220998.0,19.1,220737.0,12.3
DIE LINKE,171050,11.7,188344.0,16.2,330507.0,18.5
PIRATEN,130105,8.9,37442.0,3.2,64018.0,3.6
FDP,26943,1.8,31953.0,2.8,63616.0,3.6
NPD,31241,2.1,11842.0,1,27014.0,1.5
AfD,x,x,91759.0,7.9,88060.0,4.9
Sonstige,90293,6.2,66360.0,5.7,45739.0,2.9
