district,total,between_18_and_25_total,between_18_and_25_percentage,between_25_and_35_total,between_25_and_35_percentage,between_35_and_45_total,between_35_and_45_percentage,between_45_and_60_total,between_45_and_60_percentage,between_60_and_70_total,between_60_and_70_percentage,between_70_and_above_total,between_70_an_above_percentage
Mitte,205479,21032,10.2,50258,24.5,32908,16.0,49455,24.1,21793,10.6,30033,14.6
Friedrichshain-Kreuzberg,172345,13473,7.8,49445,28.7,38085,22.1,40583,23.5,13949,8.1,16810,9.8
Pankow,287006,16383,5.7,58215,20.3,59191,20.6,79187,27.6,28181,9.8,45849,16.0
Charlottenburg-Wilmersdorf,218256,16340,7.5,31429,14.4,27726,12.7,58733,26.9,34695,15.9,49333,22.6
Spandau,163889,14269,8.7,23527,14.4,19608,12.0,44911,27.4,23971,14.6,37603,22.9
Steglitz-Zehlendorf,218874,16139,7.4,25644,11.7,27017,12.3,60836,27.8,34120,15.6,55118,25.2
Tempelhof-Schöneberg,234834,18922,8.1,37157,15.8,31383,13.4,65305,27.8,34448,14.7,47619,20.3
Neukölln,204308,18349,9.0,42511,20.8,28889,14.1,50398,24.7,26184,12.8,37977,18.6
Treptow-Köpenick,202469,11796,5.8,35000,17.3,28843,14.2,54879,27.1,24190,11.9,47761,23.6
Marzahn-Hellersdorf,201978,12916,6.4,36144,17.9,25723,12.7,59796,29.6,33808,16.7,33591,16.6
Lichtenberg,205751,13073,6.4,43921,21.3,28873,14.0,50482,24.5,27601,13.4,41801,20.3
Reinickendorf,182436,14989,8.2,23660,13.0,20950,11.5,50171,27.5,27955,15.3,44711,24.5
