electoral_district_id,eligible_voters,voters,voter_turnout,valid_votes,party_spd,party_cdu,party_grüne,party_die_linke,party_afd,party_fdp,others
1,30075,24930,82.9,24773,15.4,13.4,31.3,14.2,3.4,10.9,11.3
2,32756,25711,78.5,25479,19.7,14.6,19.6,20.7,6,8.8,10.6
3,29676,22892,77.1,22620,20,15,28.3,13.5,3.9,8.1,11.2
4,28986,21552,74.4,21365,16.7,9.2,32.3,18.2,4,5.5,14.1
5,27687,19002,68.6,18702,22.8,14,20.5,15.7,7.6,5.1,14.2
6,26934,17436,64.7,17220,17.5,8.2,26.2,22.8,4.8,4.3,16.3
7,28141,18806,66.8,18540,19.9,10,25,18.6,5,5.3,16.2
