electoral_district_proposal,division_numbers,max_numbers
SPD,1,20351
SPD,2,10175.5
SPD,3,6783.667
SPD,4,5087.75
SPD,5,4070.2
SPD,6,3391.833
SPD,7,2907.286
SPD,8,2543.875
SPD,9,2261.222
SPD,10,2035.1
CDU,1,25185
CDU,2,12592.5
CDU,3,8395
CDU,4,6296.25
CDU,5,5037
CDU,6,4197.5
CDU,7,3597.857
CDU,8,3148.125
CDU,9,2798.333
CDU,10,2518.5
CDU,11,2289.545
CDU,12,2098.75
GRÜNE,1,35929
GRÜNE,2,17964.5
GRÜNE,3,11976.333
GRÜNE,4,8982.25
GRÜNE,5,7185.8
GRÜNE,6,5988.167
GRÜNE,7,5132.714
GRÜNE,8,4491.125
GRÜNE,9,3992.111
GRÜNE,10,3592.9
GRÜNE,11,3266.273
GRÜNE,12,2994.083
GRÜNE,13,2763.769
GRÜNE,14,2566.357
GRÜNE,15,2395.267
GRÜNE,16,2245.563
GRÜNE,17,2113.471
GRÜNE,18,1996.056
DIE LINKE,1,19885
DIE LINKE,2,9942.5
DIE LINKE,3,6628.333
DIE LINKE,4,4971.25
DIE LINKE,5,3977
DIE LINKE,6,3314.167
DIE LINKE,7,2840.714
DIE LINKE,8,2485.625
DIE LINKE,9,2209.444
DIE LINKE,10,1988.5
AfD,1,6970
AfD,2,3485
AfD,3,2323.333
FDP,1,5862
FDP,2,2931
