district,eligible_voters,voters,voter_turnout,valid_votes,party_spd,party_cdu,party_grüne,party_die_linke,party_afd,party_fdp,others
Mitte,204769,128151,62.6,126086,25.2,14,22.6,17.5,10,5.7,5
Friedrichshain-Kreuzberg,170908,117022,68.5,115208,19.2,8.1,32.8,20.9,5.6,3.3,10.1
Pankow,285240,199403,69.9,196233,23.1,13.8,18.4,21.4,13.3,3.9,6.1
Charlottenburg-Wilmersdorf,217586,152279,70,149738,27.7,23.5,18.1,8.2,10.1,10,2.3
Spandau,162760,103431,63.5,100736,31.9,27,7.8,6,16.8,7,3.5
Steglitz-Zehlendorf,218473,162844,74.5,160296,25,28.9,17.5,5.9,10.9,9.5,2.3
Tempelhof-Schöneberg,233874,161154,68.9,157802,28,21.9,20.1,8.6,11.5,6.8,3.1
Neukölln,202453,128007,63.2,124888,27.3,19.4,16.2,12.6,13.9,5.3,5.3
Treptow-Köpenick,202428,137914,68.1,135358,25.1,14.6,9.2,23.7,20.8,1,5.6
Marzahn-Hellersdorf,200519,122207,60.9,119858,18,22.2,4.6,25.4,23.3,2.7,3.8
Lichtenberg,204711,128693,62.9,126250,22.1,13.5,7.7,29.4,19.4,2.8,5.1
Reinickendorf,181658,121371,66.8,118666,24.9,32.4,10.3,5.8,16.4,7.8,2.4
