electoral_district_proposal,division_numbers,max_numbers
SPD,1,29137
SPD,2,14568.5
SPD,3,9712.333
SPD,4,7284.25
SPD,5,5827.4
SPD,6,4856.167
SPD,7,4162.429
SPD,8,3642.125
SPD,9,3237.444
SPD,10,2913.7
SPD,11,2648.818
SPD,12,2428.083
CDU,1,45072
CDU,2,22536
CDU,3,15024
CDU,4,11268
CDU,5,9014.4
CDU,6,7512
CDU,7,6438.857
CDU,8,5634
CDU,9,5008
CDU,10,4507.2
CDU,11,4097.455
CDU,12,3756
CDU,13,3467.077
CDU,14,3219.429
CDU,15,3004.8
CDU,16,2817
CDU,17,2651.294
CDU,18,2504
GRÜNE,1,35090
GRÜNE,2,17545
GRÜNE,3,11696.667
GRÜNE,4,8772.5
GRÜNE,5,7018
GRÜNE,6,5848.333
GRÜNE,7,5012.857
GRÜNE,8,4386.25
GRÜNE,9,3898.889
GRÜNE,10,3509
GRÜNE,11,3190
GRÜNE,12,2924.167
GRÜNE,13,2699.231
GRÜNE,14,2506.429
DIE LINKE,1,10162
DIE LINKE,2,5081
DIE LINKE,3,3387.333
DIE LINKE,4,2540.5
AfD,1,7510
AfD,2,3755
AfD,3,2503.333
FDP,1,9815
FDP,2,4907.5
FDP,3,3271.667
FDP,4,2453.75
