district,eligible_voters,voters,voter_turnout,valid_votes,party_spd,party_cdu,party_grüne,party_die_linke,party_afd,party_fdp,others
Mitte,204255.0,150329.0,73.6,148699.0,18.8,12.3,26.2,17.5,4.9,7.1,13.1
Friedrichshain-Kreuzberg,168102.0,132435.0,78.8,131090.0,15.1,7.6,32.3,23.6,3.1,4.8,13.5
Pankow,282096.0,221060.0,78.4,219257.0,18.4,12.7,23.3,18.6,7.9,6.1,13.0
Charlottenburg-Wilmersdorf,215247.0,168907.0,78.5,166529.0,22.6,21.0,22.7,8.6,4.8,10.4,9.9
Spandau,158696.0,112059.0,70.6,109834.0,25.7,26.6,11.6,5.6,10.0,7.8,12.8
Steglitz-Zehlendorf,215825.0,175969.0,81.5,174337.0,22.7,25.4,19.8,6.2,5.3,11.0,9.7
Tempelhof-Schöneberg,229605.0,176776.0,77.0,174819.0,22.6,20.6,22.0,9.7,5.8,7.3,11.8
Neukölln,195615.0,138938.0,71.0,136938.0,27.2,16.2,17.6,14.3,7.0,5.1,12.5
Treptow-Köpenick,205948.0,158149.0,76.8,156264.0,21.6,14.2,13.0,18.7,11.9,6.6,13.9
Marzahn-Hellersdorf,197241.0,136667.0,69.3,134841.0,19.7,20.9,6.7,17.9,16.2,5.2,13.4
Lichtenberg,199563.0,145072.0,72.7,142844.0,21.1,13.9,12.3,21.0,11.8,5.4,14.4
Reinickendorf,175407.0,127917.0,72.9,126212.0,23.5,28.3,13.3,5.4,9.3,8.0,12.3
