electoral_district_id,total,foreigners,foreigners_percentage,foreigners_from_eu_percentage,germans_total,germans_below_6,germans_below_6_percentage,germans_between_6_and_18,germans_between_6_and_18_percentage,germans_between_18_and_70,germans_between_18_and_70_percentage,germans_above_70,germans_above_70_percentage
1,51249,15372,30,9.8,35877,2515,7,4477,12.5,25810,71.9,3075,8.6
2,47476,14965,31.5,11.1,32511,2284,7,3996,12.3,24213,74.5,2018,6.2
3,53670,17701,33,8.3,35969,2507,7,5212,14.5,25515,70.9,2735,7.6
4,46065,12681,27.5,8.4,33384,2097,6.3,3140,9.4,22496,67.4,5651,16.9
5,46670,12287,26.3,10.7,34383,2497,7.3,3405,9.9,26721,77.7,1760,5.1
6,46721,12709,27.2,11.8,34012,2724,8,3323,9.8,26554,78.1,1411,4.1
