party,name,year_of_birth,profession,direct_mandate_list_mandate,electoral_district
GRÜNE,"Dr. Vandrey, Petra",1965,Abgeordnete und Rechtsanwältin,D,Charlottenburg-Wilmersdorf
GRÜNE,"Walter, Sebastian",1979,Referent der Geschäftsführung,D,Tempelhof-Schöneberg
GRÜNE,"Pieroth-Manelli, Catherina",1966,Mitglied des Abgeordnetenhauses,D,Tempelhof-Schöneberg
GRÜNE,"Schulze, André",1987,Mathematiker,D,Neukölln
GRÜNE,"Dr. Kahlefeld, Susanna Maria",1964,Mitglied des Abgeordnetenhauses,D,Neukölln
DIE LINKE,"Dr. Lederer, Klaus",1974,Senator,L,x
DIE LINKE,"Breitenbach, Elke",1961,Senatorin,L,x
DIE LINKE,"Schubert, Katina",1961,Mitglied des Abgeordnetenhauses,L,x
DIE LINKE,"Scheel, Sebastian",1975,Senator,L,x
DIE LINKE,"Helm, Anne",1986,Mitglied des Abgeordnetenhauses,L,x
DIE LINKE,"Schatz, Carsten",1970,Mitglied des Abgeordnetenhauses,L,x
DIE LINKE,"Eralp, Elif",1981,Angestellte,L,x
DIE LINKE,"Schulze, Tobias",1976,Mitglied des Abgeordnetenhauses,L,x
DIE LINKE,"Dr. Schmidt, Manuela",1963,Mitglied des Abgeordnetenhauses,L,x
DIE LINKE,"Zillich, Steffen",1971,Mitglied des Abgeordnetenhauses,L,x
DIE LINKE,"Seidel, Katrin",1967,Mitglied des Abgeordnetenhauses,L,x
DIE LINKE,"Brychcy, Franziska",1984,Mitglied des Abgeordnetenhauses,L,x
DIE LINKE,"Koçak, Ferat",1979,Angestellter,L,x
DIE LINKE,"Ronneburg, Kristian",1986,Mitglied des Abgeordnetenhauses,L,x
DIE LINKE,"Schmidt, Ines",1960,Mitglied des Abgeordnetenhauses,L,x
DIE LINKE,"Schrader, Niklas",1981,Mitglied des Abgeordnetenhauses,L,x
DIE LINKE,"Schenker, Niklas",1993,Wissenschaftlicher Mitarbeiter,L,x
DIE LINKE,"Brunner, Sandra",1975,Richterin am Sozialgericht,L,x
DIE LINKE,"Valgolio, Damiano",1981,Jurist,D,Friedrichshain-Kreuzberg
DIE LINKE,"Gennburg, Katalin",1984,-,D,Treptow-Köpenick
DIE LINKE,"Schlüsselburg, Sebastian",1983,Mitglied des Abgeordnetenhauses,D,Lichtenberg
DIE LINKE,"Klein, Hendrikje",1979,Mitglied des Abgeordnetenhauses,D,Lichtenberg
AfD,"Dr. Brinker, Kristin",1972,Selbständige Doktor-Ingenieurin,L,x
AfD,"Gläser, Ronald",1973,Mitglied des Abgeordnetenhauses,L,x
AfD,"Woldeit, Karsten",1975,Mitglied des Abgeordnetenhauses,L,x
AfD,"Laatsch, Harald",1956,Unternehmensberater,L,x
AfD,"Hansel, Frank-Christian",1964,Mitglied des Abgeordnetenhauses,L,x
AfD,"Trefzer, Martin",1969,Kaufmännischer Angestellter,L,x
AfD,"Weiß, Thorsten",1983,Mitglied des Abgeordnetenhauses,L,x
AfD,"Vallendar, Marc",1986,Mitglied des Abgeordnetenhauses,L,x
AfD,"Brousek, Antonin",1962,Amtsrichter,L,x
AfD,"Dr. Bronson, Hugh Theodore",1961,Mitglied des Abgeordnetenhauses,L,x
AfD,"Tabor, Tommy",1982,Mitglied des Abgeordnetenhauses,L,x
AfD,"Bertram, Alexander",1988,Sozialwissenschaftler,L,x
AfD,"Wiedenhaupt, Rolf",1958,Jurist,L,x
AfD,"Ubbelohde, Carsten",1962,Mitglied des Abgeordnetenhauses,L,x
AfD,"Eschricht, Robert",1985,Wissenschaftlicher Referent,L,x
AfD,"Lindemann, Gunnar Norbert",1970,Mitglied des Abgeordnetenhauses,D,Marzahn-Hellersdorf
AfD,"Auricht, Jeannette",1970,Kaufmännische Angestellte,D,Marzahn-Hellersdorf
