feature,total,total_percentage,urn_voting,urn_voting_percentage,postal_voting,postal_voting_percentage,postal_voting_percentage_of_total
Wahlberechtigte,2431776,x,x,x,x,x,x
Wählende,1529558,62.9,849087,34.9,680471,28,44.5
Ungültige Stimmen,13409,0.9,9173,1.1,4236,0.6,31.6
Gültige Stimmen,1514567,99.1,839442,98.9,675125,99.4,44.6
SPD,301851,19.9,162942,19.4,138909,20.6,46
CDU,449990,29.7,235346,28,214644,31.8,47.7
GRÜNE,290026,19.1,154206,18.4,135820,20.1,46.8
DIE LINKE,186473,12.3,109520,13,76953,11.4,41.3
AfD,136426,9,94445,11.3,41981,6.2,30.8
FDP,58381,3.9,30807,3.7,27574,4.1,47.2
Die PARTEI,25120,1.7,14364,1.7,10756,1.6,42.8
Tierschutzpartei,43924,2.9,24528,2.9,19396,2.9,44.2
PIRATEN,1184,0.1,705,0.1,479,0.1,40.5
NPD,566,0,388,0,178,0,31.4
LKR,382,0,210,0,172,0,45
ÖDP,643,0,327,0,316,0,49.1
dieBasis,11505,0.8,7677,0.9,3828,0.6,33.3
DL,22,0,12,0,10,0,45.5
REP,15,0,10,0,5,0,33.3
du.,614,0,341,0,273,0,44.5
BÜNDNIS21,36,0,20,0,16,0,44.4
DIE FRAUEN,111,0,67,0,44,0,39.6
FREIE WÄHLER,5666,0.4,2736,0.3,2930,0.4,51.7
LD,30,0,15,0,15,0,50
MIETERPARTEI,973,0.1,472,0.1,501,0.1,51.5
EB,38,0,18,0,20,0,52.6
EB,60,0,23,0,37,0,61.7
EB,41,0,15,0,26,0,63.4
EB,153,0,82,0,71,0,46.4
EB,53,0,25,0,28,0,52.8
EB,55,0,29,0,26,0,47.3
EB,39,0,21,0,18,0,46.2
EB,28,0,11,0,17,0,60.7
EB,45,0,20,0,25,0,55.6
EB,33,0,18,0,15,0,45.5
EB,63,0,31,0,32,0,50.8
EB,21,0,11,0,10,0,47.6
