electoral_district_proposal,division_numbers,max_numbers
SPD,1,29615
SPD,2,14807.5
SPD,3,9871.667
SPD,4,7403.75
SPD,5,5923
SPD,6,4935.833
SPD,7,4230.714
SPD,8,3701.875
SPD,9,3290.556
SPD,10,2961.5
SPD,11,2692.273
,,
CDU,1,56636
CDU,2,28318
CDU,3,18878.667
CDU,4,14159
CDU,5,11327.2
CDU,6,9439.333
CDU,7,8090.857
CDU,8,7079.5
CDU,9,6292.889
CDU,10,5663.6
CDU,11,5148.727
CDU,12,4719.667
CDU,13,4356.615
CDU,14,4045.429
CDU,15,3775.733
CDU,16,3539.75
CDU,17,3331.529
CDU,18,3146.444
CDU,19,2980.842
CDU,20,2831.8
CDU,21,2696.952
CDU,22,2574.364
,,
GRÜNE,1,33946
GRÜNE,2,16973
GRÜNE,3,11315.333
GRÜNE,4,8486.5
GRÜNE,5,6789.2
GRÜNE,6,5657.667
GRÜNE,7,4849.429
GRÜNE,8,4243.25
GRÜNE,9,3771.778
GRÜNE,10,3394.6
GRÜNE,11,3086
GRÜNE,12,2828.833
GRÜNE,13,2611.231
,,
DIE LINKE,1,7348
DIE LINKE,2,3674
,,
AfD,1,8729
AfD,2,4364.5
AfD,3,2909.667
,,
FDP,1,10258
FDP,2,5129
FDP,3,3419.333
FDP,4,2564.5
