electoral_district_id,eligible_voters,voters,voter_turnout,valid_votes,party_spd,party_cdu,party_grüne,party_die_linke,party_afd,party_fdp,others
1,32400,23888,73.7,23583,23.4,21.1,20.6,8.9,9.5,9.4,7.1
2,31727,22442,70.7,22134,23.5,21.8,18.3,8.6,11.1,8.7,8
3,33085,25598,77.4,25348,21.6,27.9,16.7,6.2,9.8,12.6,5.2
4,29657,21585,72.8,21274,21.3,28.6,14.1,6.2,12.6,10.9,6.3
5,30702,21068,68.6,20695,22.4,26.5,12.2,6.7,14.2,9.7,8.3
6,30919,24294,78.6,24022,20.1,25.8,17.9,6.5,10.2,14.4,5.2
7,29983,23969,79.9,23747,19.1,27.1,16.8,5.7,10.2,16.5,4.6
