feature,2023_total,2023_total_percentage,2016_total,2016_total_percentage,difference,difference_percentage
Wahlberechtigte,248853,x,x,250740,x,x
Wählende,126651,50.9,x,134861,53.8,x
darunter Briefwählende,52778,41.7,x,37946,28.1,x
Abgegebene Stimmen,126651,x,x,134861,x,x
Mindeststimmen (3%),3800,3,x,4046,3,x
Ungültige Stimmen,797,0.6,x,1897,1.4,x
Gültige Stimmen,125854,99.4,x,132964,98.6,x
SPD,20351,16.2,10,31650,23.8,14
CDU,25185,20,12,17948,13.5,7
GRÜNE,35929,28.5,18,31809,23.9,14
DIE LINKE,19885,15.8,10,23778,17.9,10
AfD,6970,5.5,3,13172,9.9,5
FDP,5862,4.7,2,7992,6,3
Die PARTEI,2361,1.9,0,x,x,x
Tierschutzpartei,2776,2.2,0,x,x,x
PIRATEN,600,0.5,0,4585,3.4,2
ÖDP,163,0.1,0,x,x,x
dieBasis,818,0.6,0,x,x,x
Die Grauen,644,0.5,0,x,x,x
FREIE WÄHLER,279,0.2,0,x,x,x
Klimaliste Berlin,1062,0.8,0,x,x,x
Die Humanisten,399,0.3,0,x,x,x
Volt,2523,2,0,x,x,x
die-waehlbaren.de,47,0,0,x,x,x
Übrige,x,x,x,2030,1.5,x
