electoral_district_proposal,division_numbers,max_numbers
SPD,1,29075
SPD,2,14537.5
SPD,3,9691.667
SPD,4,7268.75
SPD,5,5815
SPD,6,4845.833
SPD,7,4153.571
SPD,8,3634.375
SPD,9,3230.556
,,
CDU,1,40027
CDU,2,20013.5
CDU,3,13342.333
CDU,4,10006.75
CDU,5,8005.4
CDU,6,6671.167
CDU,7,5718.143
CDU,8,5003.375
CDU,9,4447.444
CDU,10,4002.7
CDU,11,3638.818
CDU,12,3335.583
,,
GRÜNE,1,46836
GRÜNE,2,23418
GRÜNE,3,15612
GRÜNE,4,11709
GRÜNE,5,9367.2
GRÜNE,6,7806
GRÜNE,7,6690.857
GRÜNE,8,5854.5
GRÜNE,9,5204
GRÜNE,10,4683.6
GRÜNE,11,4257.818
GRÜNE,12,3903
GRÜNE,13,3602.769
GRÜNE,14,3345.429
GRÜNE,15,3122.4
,,
DIE LINKE,1,35198
DIE LINKE,2,17599
DIE LINKE,3,11732.667
DIE LINKE,4,8799.5
DIE LINKE,5,7039.6
DIE LINKE,6,5866.333
DIE LINKE,7,5028.286
DIE LINKE,8,4399.75
DIE LINKE,9,3910.889
DIE LINKE,10,3519.8
DIE LINKE,11,3199.818
,,
AfD,1,18487
AfD,2,9243.5
AfD,3,6162.333
AfD,4,4621.75
AfD,5,3697.4
AfD,6,3081.167
,,
FDP,1,7242
FDP,2,3621
