district,eligible_voters,voters,voter_turnout,valid_votes,party_spd,party_cdu,party_grüne,party_die_linke,party_afd,party_fdp,others
Mitte,204255,150329,73.6,147988,21.2,13.3,29.3,17.2,5,7,6.9
Friedrichshain-Kreuzberg,168102,132435,78.8,130559,16.9,8.2,35.4,22.8,3.2,4.7,8.9
Pankow,282096,221060,78.4,218053,20.3,13.8,24.7,18.4,8,5.6,9.2
Charlottenburg-Wilmersdorf,215247,168907,78.5,165845,24.8,23.1,24.1,7.3,4.6,9.4,6.7
Spandau,158696,112059,70.6,109083,28.7,27.7,11.5,5.4,10.2,7.5,9.1
Steglitz-Zehlendorf,215825,175969,81.5,172385,24,28.1,21.6,4.9,5.1,9.4,6.8
Tempelhof-Schöneberg,229605,176776,77,173866,26.1,22,23.2,8.4,5.8,6.9,7.6
Neukölln,195615,138938,71,136131,28.5,18.2,18.4,15.3,7.2,5.1,7.3
Treptow-Köpenick,205948,158149,76.8,155178,24.8,14.7,12.9,19.3,12.1,6.1,10.2
Marzahn-Hellersdorf,197241,136667,69.3,133224,19.2,24.4,6.7,19.2,16.4,4.9,9.3
Lichtenberg,199563,145072,72.7,141770,21.8,15.5,12.7,23.6,12,4.4,9.9
Reinickendorf,175407,127917,72.9,125404,25.7,30.3,13,4.9,9.5,7.3,9.3
