feature,berlin_election_2021,berlin_election_2021_percentage,berlin_election_2016,berlin_election_2016_percentage,federal_election_2021,federal_election_2021_percentage,european_election_2019,european_election_2019_percentage
Wahlberechtigte,2447600,x,2485379,x,2468919,x,2508435,x
Wählende,1844278,75.4,1662476,66.9,1856903,75.2,1520678,60.6
Briefwählende,863545,46.8,485879,29.2,875544,47.2,469793,30.9
Ungültige Stimmen,17865,1,25694,1.5,30322,1.6,13321,0.9
Gültige Stimmen,1821664,99,1635169,98.5,1826581,98.4,1507357,99.1
SPD,390329,21.4,352430,21.6,428289,23.4,211717,14
CDU,328587,18,287997,17.6,289691,15.9,229352,15.2
GRÜNE,343871,18.9,248324,15.2,408533,22.4,419377,27.8
DIE LINKE,256063,14.1,255701,15.6,209052,11.4,179943,11.9
AfD,145712,8,231492,14.2,153694,8.4,149177,9.9
FDP,130201,7.1,109500,6.7,165937,9.1,71576,4.7
Sonstige,226901,12.5,149725,9.1,171385,9.4,246215,16.3
