electoral_district_id,total,germans_above_16_female,germans_above_16_female_percentage,foreigners_from_eu,foreigners_from_eu_percentage,between_16_and_18,between_16_and_18_percentage
1,36327,17854,49.1,1747,4.8,789,2.2
2,35375,17303,48.9,1639,4.6,688,1.9
3,38043,17801,46.8,3418,9,584,1.5
4,37375,17445,46.7,3227,8.6,582,1.6
5,36532,17401,47.6,2520,6.9,472,1.3
6,33121,16667,50.3,1513,4.6,694,2.1
