feature,01_mitte,02_friedrichshain_kreuzberg,03_pankow,04_charlottenburg_wilmersdorf,05_spandau,06_steglitz_zehlendorf,07_tempelhof_schöneberg,08_neukölln,09_treptow_köpenick,10_marzahn_hellersdorf,11_lichtenberg,12_reinickendorf,total
SPD,16.6,14.6,16.2,20.7,21.5,20.2,19.9,21.3,18,15.9,16.3,20.3,18.4
CDU,20.2,13.4,21.5,30.6,39.1,35.4,31.1,28.1,26,31.8,25.4,40.2,28.2
GRÜNE,27.2,33.5,22.5,21.6,10.1,18.4,21.7,18.5,12.2,5.5,11.7,12,18.4
DIE LINKE,15.8,21.1,16.2,7.7,4.5,5.5,8.5,13.1,15.9,14.4,18.6,4.5,12.2
AfD,5.6,3.7,9.5,5.3,11,5.7,6.3,7.5,13.9,19.2,13.8,10,9.1
FDP,5.1,3.3,3.9,7.3,4.6,8,4.6,3.1,3.7,3,3,4.9,4.6
Die PARTEI,1.6,2.4,1.8,1.1,1.2,0.9,1.1,1.4,1.7,1.2,1.7,1,1.4
Tierschutzpartei,1.9,2,2.4,1.7,3.4,1.8,2,2.1,2.8,3.3,3.3,2.5,2.4
PIRATEN,0.4,0.4,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.5,0.3,0.3
Graue Panther,0.2,0.2,0.4,0.3,0.6,0.3,0.4,0.3,0.5,0.7,0.6,0.5,0.4
NPD,0,0,0.1,0,0.1,0,0.1,0.1,0.2,0.4,0.2,0.1,0.1
Gesundheitsforschung,0.2,0.1,0.3,0.1,0.2,0.2,0.2,0.2,0.3,0.5,0.4,0.2,0.2
LKR,0,0,0,0,0,0,0,0,0.1,0,0,0,0.0
DKP,0.2,0.2,0.2,0.1,0,0.1,0.1,0.1,0.2,0.3,0.3,0.1,0.2
SGP,0.1,0.1,0.1,0,0,0,0,0,0,0.1,0.1,0,0.1
BüSo,0,0,0,0,0,0,0,0,0,0,0.1,0,0.0
MENSCHLICHE WELT,x,x,x,x,x,x,0,x,x,x,x,x,0.0
B*,0.1,0.2,0.1,0,0,0,0.1,0.1,0.1,0,0.1,0,0.1
ÖDP,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
dieBasis,0.5,0.6,0.9,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.5
Bildet Berlin!,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1
Deutsche Konservative,x,x,x,0,x,x,x,x,x,x,x,x,0.0
Die Grauen,0.2,0.2,0.5,0.2,0.5,0.3,0.3,0.3,0.7,0.7,0.6,0.6,0.4
Neue Demokraten,x,x,x,0,x,x,x,x,x,x,x,x,0.0
REP,x,x,x,x,x,x,x,x,x,x,x,0,0.0
du.,0.3,0.4,0.2,0.1,0.1,0.1,0.2,0.3,0.2,0.1,0.2,0.1,0.2
BÜNDNIS21,0,0.1,0,0,0.1,0,0,0,0.1,0.1,0.1,0,0.1
FREIE WÄHLER,0.1,0.1,0.3,0.2,0.2,0.2,0.2,0.2,0.5,0.3,0.5,0.3,0.3
Klimaliste Berlin,0.4,0.7,0.3,0.2,0.1,0.2,0.3,0.4,0.3,0.1,0.2,0.1,0.3
MIETERPARTEI,0.2,0.3,0.4,0.2,0.3,0.2,0.2,0.2,0.3,0.3,0.4,0.2,0.3
Die Humanisten,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.1,0.2
Team Todenhöfer,0.7,0.6,0.2,0.4,0.5,0.3,0.6,0.9,0.3,0.2,0.2,0.4,0.4
Volt,1.6,1.4,1.2,1.1,0.5,1,1,0.6,0.7,0.4,0.8,0.6,0.9
