electoral_district_id,total,germans_above_16_female,germans_above_16_female_percentage,foreigners_from_eu,foreigners_from_eu_percentage,between_16_and_18,between_16_and_18_percentage
1,39104,18723,47.9,2954,7.6,558,1.4
2,38772,18479,47.7,2474,6.4,644,1.7
3,37936,18431,48.6,1871,4.9,765,2
4,38603,18988,49.2,1766,4.6,646,1.7
5,31047,15861,51.1,812,2.6,522,1.7
6,35290,18566,52.6,765,2.2,620,1.8
