electoral_district_id,below_65,residents_in_sgb_II_communities_of_need,residents_in_sgb_II_communities_of_need_percentage
1,46506,7479.0,16.1
2,44213,6037.0,13.7
3,38612,3273.0,8.5
4,40354,6139.0,15.2
5,37785,7138.0,18.9
6,33304,6305.0,18.9
7,33582,5345.0,15.9
