electoral_district_proposal,division_numbers,max_numbers
SPD,1.0,15427.0
SPD,2.0,7713.5
SPD,3.0,5142.333
SPD,4.0,3856.75
SPD,5.0,3085.4
SPD,6.0,2571.167
SPD,7.0,2203.857
SPD,8.0,1928.375
nan,nan,nan
CDU,1.0,15074.0
CDU,2.0,7537.0
CDU,3.0,5024.667
CDU,4.0,3768.5
CDU,5.0,3014.8
CDU,6.0,2512.333
CDU,7.0,2153.429
CDU,8.0,1884.25
nan,nan,nan
GRÜNE,1.0,39448.0
GRÜNE,2.0,19724.0
GRÜNE,3.0,13149.333
GRÜNE,4.0,9862.0
GRÜNE,5.0,7889.6
GRÜNE,6.0,6574.667
GRÜNE,7.0,5635.429
GRÜNE,8.0,4931.0
GRÜNE,9.0,4383.111
GRÜNE,10.0,3944.8
GRÜNE,11.0,3586.182
GRÜNE,12.0,3287.333
GRÜNE,13.0,3034.462
GRÜNE,14.0,2817.714
GRÜNE,15.0,2629.867
GRÜNE,16.0,2465.5
GRÜNE,17.0,2320.471
GRÜNE,18.0,2191.556
GRÜNE,19.0,2076.211
GRÜNE,20.0,1972.4
GRÜNE,21.0,1878.476
nan,nan,nan
DIE LINKE,1.0,23266.0
DIE LINKE,2.0,11633.0
DIE LINKE,3.0,7755.333
DIE LINKE,4.0,5816.5
DIE LINKE,5.0,4653.2
DIE LINKE,6.0,3877.667
DIE LINKE,7.0,3323.714
DIE LINKE,8.0,2908.25
DIE LINKE,9.0,2585.111
DIE LINKE,10.0,2326.6
DIE LINKE,11.0,2115.091
DIE LINKE,12.0,1938.833
nan,nan,nan
AfD,1.0,3995.0
AfD,2.0,1997.5
nan,nan,nan
FDP,1.0,3765.0
FDP,2.0,1882.5
nan,nan,nan
Die PARTEI,1.0,3831.0
Die PARTEI,2.0,1915.5
