electoral_district_id,total,foreigners,foreigners_percentage,foreigners_from_eu_percentage,germans_total,germans_below_6,germans_below_6_percentage,germans_between_6_and_18,germans_between_6_and_18_percentage,germans_between_18_and_70,germans_between_18_and_70_percentage,germans_above_70,germans_above_70_percentage
1,58494,19976,34.2,13,38518,2744,7.1,4142,10.8,28572,74.2,3060,7.9
2,61847,22687,36.7,13,39160,2806,7.2,4647,11.9,29085,74.3,2622,6.7
3,64411,22212,34.5,10.3,42199,3289,7.8,5963,14.1,28022,66.4,4925,11.7
4,49219,9692,19.7,4.8,39527,2491,6.3,4326,10.9,22780,57.6,9930,25.1
5,47760,7912,16.6,4.6,39848,2257,5.7,4606,11.6,24262,60.9,8723,21.9
6,47306,6966,14.7,3.6,40340,2669,6.6,5001,12.4,24305,60.3,8365,20.7
Insgesamt,329037,89445,27.2,8.7,239592,16256,6.8,28685,12,157026,65.5,37625,15.7
