party,electoral_district,list_position
SPD,Mitte,3
SPD,Mitte,4
SPD,Mitte,5
SPD,Mitte,6
SPD,Mitte,7
SPD,Mitte,8
SPD,Friedrichshain-Kreuzberg,3
SPD,Friedrichshain-Kreuzberg,4
SPD,Friedrichshain-Kreuzberg,5
SPD,Friedrichshain-Kreuzberg,6
SPD,Pankow,4
SPD,Pankow,6
SPD,Pankow,7
SPD,Pankow,9
SPD,Pankow,10
SPD,Charlottenburg-Wilmersdorf,4
SPD,Charlottenburg-Wilmersdorf,5
SPD,Charlottenburg-Wilmersdorf,6
SPD,Charlottenburg-Wilmersdorf,7
SPD,Charlottenburg-Wilmersdorf,8
SPD,Charlottenburg-Wilmersdorf,9
SPD,Charlottenburg-Wilmersdorf,10
SPD,Charlottenburg-Wilmersdorf,11
SPD,Charlottenburg-Wilmersdorf,12
SPD,Charlottenburg-Wilmersdorf,13
SPD,Charlottenburg-Wilmersdorf,14
SPD,Spandau,3
SPD,Spandau,4
SPD,Spandau,5
SPD,Spandau,6
SPD,Spandau,7
SPD,Spandau,8
SPD,Spandau,9
SPD,Steglitz-Zehlendorf,5
SPD,Steglitz-Zehlendorf,6
SPD,Steglitz-Zehlendorf,7
SPD,Steglitz-Zehlendorf,8
SPD,Tempelhof-Schöneberg,4
SPD,Tempelhof-Schöneberg,5
SPD,Tempelhof-Schöneberg,6
SPD,Tempelhof-Schöneberg,8
SPD,Tempelhof-Schöneberg,9
SPD,Tempelhof-Schöneberg,10
SPD,Neukölln,4
SPD,Neukölln,5
SPD,Neukölln,6
SPD,Neukölln,7
SPD,Neukölln,8
SPD,Treptow-Köpenick,4
SPD,Treptow-Köpenick,5
SPD,Treptow-Köpenick,6
SPD,Treptow-Köpenick,7
SPD,Marzahn-Hellersdorf,3
SPD,Marzahn-Hellersdorf,4
SPD,Marzahn-Hellersdorf,5
SPD,Lichtenberg,3
SPD,Lichtenberg,4
SPD,Lichtenberg,5
SPD,Lichtenberg,6
SPD,Lichtenberg,7
SPD,Reinickendorf,4
SPD,Reinickendorf,5
SPD,Reinickendorf,6
SPD,Reinickendorf,7
SPD,Reinickendorf,8
SPD,Reinickendorf,9
SPD,Reinickendorf,10
SPD,Reinickendorf,11
SPD,Reinickendorf,12
CDU,Mitte,2
CDU,Mitte,3
CDU,Mitte,5
CDU,Mitte,6
CDU,Mitte,7
CDU,Mitte,8
CDU,Mitte,9
CDU,Mitte,10
CDU,Friedrichshain-Kreuzberg,3
CDU,Friedrichshain-Kreuzberg,4
CDU,Friedrichshain-Kreuzberg,5
CDU,Pankow,4
CDU,Pankow,5
CDU,Pankow,6
CDU,Pankow,8
CDU,Pankow,9
CDU,Pankow,10
CDU,Charlottenburg-Wilmersdorf,5
CDU,Charlottenburg-Wilmersdorf,8
CDU,Charlottenburg-Wilmersdorf,9
CDU,Spandau,6
CDU,Spandau,7
CDU,Spandau,8
CDU,Spandau,9
CDU,Spandau,10
CDU,Spandau,11
CDU,Spandau,12
CDU,Spandau,13
CDU,Steglitz-Zehlendorf,8
CDU,Steglitz-Zehlendorf,9
CDU,Steglitz-Zehlendorf,10
CDU,Steglitz-Zehlendorf,11
CDU,Steglitz-Zehlendorf,12
CDU,Steglitz-Zehlendorf,13
CDU,Steglitz-Zehlendorf,14
CDU,Steglitz-Zehlendorf,15
CDU,Steglitz-Zehlendorf,16
CDU,Steglitz-Zehlendorf,17
CDU,Steglitz-Zehlendorf,18
CDU,Steglitz-Zehlendorf,19
CDU,Steglitz-Zehlendorf,20
CDU,Tempelhof-Schöneberg,5
CDU,Tempelhof-Schöneberg,6
CDU,Tempelhof-Schöneberg,8
CDU,Tempelhof-Schöneberg,9
CDU,Tempelhof-Schöneberg,10
CDU,Tempelhof-Schöneberg,11
CDU,Tempelhof-Schöneberg,12
CDU,Neukölln,3
CDU,Neukölln,4
CDU,Neukölln,6
CDU,Neukölln,7
