electoral_district_id,electoral_district_name,eligible_voters,voters,valid_votes,party_cdu,party_spd,party_die_linke,party_grüne,party_afd,party_fdp,others
75.0,Berlin-Mitte,x,62.6,98.4,13.5,21.5,17.6,21.3,9.9,6.6,7.2
76.0,Berlin-Pankow,x,70.1,98.5,13.1,20.2,21.1,17.1,14.5,4.3,7.7
77.0,Berlin-Reinickendorf,x,66.8,98.0,28.0,22.0,6.1,10.6,16.1,8.8,7.3
78.0,Berlin-Spandau –Charlottenburg Nord,x,63.1,97.8,23.8,27.1,7.0,9.4,16.5,7.6,7.2
79.0,Berlin-Steglitz-Zehlendorf,x,74.5,98.7,25.5,21.6,6.9,16.8,11.0,11.8,4.9
80.0,Berlin-Charlottenburg-Wilmersdorf,x,71.1,98.7,20.6,22.7,9.3,18.9,9.8,12.7,4.9
81.0,Berlin-Tempelhof-Schöneberg,x,68.9,98.4,19.9,24.9,9.7,18.7,11.4,7.9,6.0
82.0,Berlin-Neukölln,x,63.2,98.0,17.8,23.3,13.6,16.2,13.8,5.7,7.6
83.0,Berlin-Friedrichshain-Kreuzberg –Prenzlauer Berg Ost,x,68.6,98.7,8.3,18.6,23.3,26.8,7.4,4.1,8.5
84.0,Berlin-Treptow-Köpenick,x,68.1,98.3,12.9,20.4,22.6,9.1,20.5,4.1,8.8
85.0,Berlin-Marzahn-Hellersdorf,x,60.9,98.1,17.3,17.0,23.5,4.5,23.6,2.8,10.0
86.0,Berlin-Lichtenberg,x,62.9,98.2,12.0,19.7,26.9,7.7,19.0,2.9,9.9
