feature,federal_election_2013,federal_election_2013_percentage,european_election_2014,european_election_2014_percentage,berlin_election_2016,berlin_election_2016_percentage
Wahlberechtigte,2505718,,2519758,,2485379,
Wähler,1815415,72.5,1177832,46.7,1662476,66.9
Briefwähler,509121,28,335916,28.5,485879,29.2
Ungültige Stimmen,27694,1.5,18166,1.5,25694,1.5
Gültige Stimmen,1787721,98.5,1159666,98.5,1635169,98.5
CDU,508643,28.5,232274,20,287997,17.6
SPD,439387,24.6,278694,24,352430,21.6
DIE LINKE,330507,18.5,188344,16.2,255701,15.6
GRÜNE,220737,12.3,220998,19.1,248324,15.2
AfD,88060,4.9,91759,7.9,231492,14.2
