electoral_district_id,electoral_district_name,total,in_sgb_II_communities_of_need,in_sgb_II_communities_of_need_percentage
76,Berlin-Pankow,270459,28895,10.7
77,Berlin-Reinickendorf,194967,44955,23.1
78,Berlin-Spandau –Charlottenburg Nord,209235,54352,26
79,Berlin-Steglitz-Zehlendorf,222813,21258,9.5
80,Berlin-Charlottenburg-Wilmersdorf,227055,26845,11.8
81,Berlin-Tempelhof-Schöneberg,270424,50380,18.6
82,Berlin-Neukölln,270819,78321,28.9
83,Berlin-Friedrichshain-Kreuzberg –Prenzlauer Berg Ost,311119,60417,19.4
84,Berlin-Treptow-Köpenick,194408,26429,13.6
85,Berlin-Marzahn-Hellersdorf,211693,48216,22.8
86,Berlin-Lichtenberg,220281,42657,19.4
,,,,
