feature,federal_election_2021,federal_election_2021_percentage,european_election_2024,european_election_2024_percentage,berlin_election_2023,berlin_election_2023_percentage
Wahlberechtigte,2460618,x,2 495 665,x,2431776,x
Wählende,1709738,69.5,1 553 432,62.2,1529558,62.9
Briefwählende,804 250,47,671 554,43.2,680471,44.5
Ungültige Stimmen,26793,1.6,8 303,0.5,11039,0.7
Gültige Stimmen,1682945,98.4,1 545 129,99.5,1516860,99.3
SPD,374413,22.2,204 568,13.2,279017,18.4
GRÜNE,370735,22,302 225,19.6,278964,18.4
CDU,289140,17.2,271 716,17.6,428228,28.2
DIE LINKE,194010,11.5,112 825,7.3,185119,12.2
AfD,159025,9.4,179 303,11.6,137871,9.1
FDP,136998,8.1,67 107,4.3,70416,4.6
Tierschutzpartei,43598,2.6,32035,2.1,36273,2.4
Die PARTEI,27199,1.6,51804,3.4,21570,1.4
Team Todenhöfer,17487,1,x,x,6326,0.4
Die Grauen,17304,1,x,x,6447,0.4
FREIE WÄHLER,14953,0.9,7897,0.5,3923,0.3
Volt,10471,0.6,74273,4.8,14047,0.9
PIRATEN,6580,0.4,8039,0.5,5145,0.3
Verjüngungsforschung,4297,0.3,1028,0.1,x,x
Die Humanisten,3235,0.2,x,x,2659,0.2
ÖDP,2613,0.2,5820,0.4,1674,0.1
du.,2512,0.1,x,x,2993,0.2
DKP,2187,0.1,1427,0.1,2517,0.2
HEIMAT,1766,0.1,1138,0.1,1591,0.1
Wir Bürger,1401,0.1,x,x,x,x
V-Partei³,1178,0.1,2198,0.1,x,x
MLPD,750,0,690,0,x,x
BüSo,665,0,x,x,409,0
SGP,428,0,446,0,801,0.1
Sonstige,x,x,220590,14.3,30870,2
