feature,european_election_2014,european_election_2014_percentage,federal_election_2017,federal_election_2017_percentage,berlin_election_2016,berlin_election_2016_percentage
Wahlberechtigte,1049145,x,1046751,x,1038373,x
Wähler²,449963,42.9,792630,75.7,691494,66.6
Briefwähler,121100,26.9,247299,31.2,186731,27
Ungültige Stimmen,6642,1.5,8997,1.1,10315,1.5
Gültige Stimmen,443321,98.5,783633,98.9,680546,98.5
davon,,,,,,
SPD,93445,21.1,118241,15.1,131022,19.3
CDU,62379,14.1,151288,19.3,88957,13.1
GRÜNE,73213,16.5,81810,10.4,85502,12.6
DIE LINKE,118885,26.8,204400,26.1,159364,23.4
AfD,36561,8.2,116022,14.8,115847,17
PIRATEN,16166,3.6,4250,0.5,12814,1.9
FDP,8293,1.9,49917,6.4,27308,4
Tierschutzpartei,6759,1.5,11554,1.5,13294,2
Die PARTEI,7897,1.8,19128,2.4,15205,2.2
NPD,6704,1.5,x,x,6077,0.9
FAMILIE,2924,0.7,x,x,x,x
Volksabstimmung,1654,0.4,x,x,x,x
ÖDP,1487,0.3,1298,0.2,198,0
FREIE WÄHLER,1404,0.3,3231,0.4,x,x
DKP,2009,0.5,1134,0.1,2303,0.3
REP,1162,0.3,x,x,x,x
MLPD,568,0.1,694,0.1,x,x
AUF,314,0.1,x,x,x,x
PBC,277,0.1,x,x,x,x
PSG³,368,0.1,210,0,1038,0.2
BüSo,316,0.1,473,0.1,679,0.1
PRO NRW,247,0.1,x,x,x,x
CM,173,0,x,x,x,x
BP,116,0,x,x,x,x
Sonstige,x,x,19983,2.6,20938,3.1
