district_name,total,female_percentage,migration_background_percentage,single_percentage,married_percentage,widowed_percentage,divorced_percentage,civil_partnership_percentage,protestant_percentage,catholic_percentage
Mitte,206304.0,49.0,20.6,52.5,30.9,5.3,10.5,0.8,20.2,10.5
Friedrichshain-Kreuzberg,171314.0,49.2,16.2,59.1,27.5,3.7,8.7,0.9,17.1,9.2
Pankow,286166.0,51.8,6.1,45.6,37.3,5.9,10.5,0.6,14.1,6.6
Charlottenburg-Wilmersdorf,218928.0,53.2,17.2,39.8,38.9,7.4,12.9,0.9,24.7,11.3
Spandau,161957.0,52.4,15.7,33.5,44.2,9.2,12.8,0.3,28.0,9.2
Steglitz-Zehlendorf,219978.0,54.0,11.1,32.0,47.1,8.7,11.8,0.4,30.3,11.1
Tempelhof-Schöneberg,233982.0,52.3,15.9,38.9,40.9,7.6,11.6,0.9,26.1,11.1
Neukölln,200697.0,51.5,19.4,43.3,37.8,7.5,10.9,0.5,24.1,10.3
Treptow-Köpenick,206897.0,52.0,4.9,37.1,42.6,8.4,11.6,0.3,11.5,4.1
Marzahn-Hellersdorf,199894.0,51.3,7.6,33.7,46.1,7.3,12.6,0.3,8.5,3.2
Lichtenberg,203834.0,51.7,7.9,40.8,39.2,7.8,11.8,0.4,9.1,3.9
Reinickendorf,180572.0,52.2,13.2,32.1,46.1,9.3,12.2,0.3,28.6,9.7
