feature,european_election_2014,european_election_2014_percentage,federal_election_2017,federal_election_2017_percentage,berlin_election_2016,berlin_election_2016_percentage
Wahlberechtigte,2519758,x,2503070,x,2485379,x
Wähler²,1177832,46.7,1892134,75.6,1662476,66.9
Briefwähler,335916,28.5,631774,33.4,485879,29.2
Ungültige Stimmen,18166,1.5,23092,1.2,25694,1.5
Gültige Stimmen,1159666,98.5,1869042,98.8,1635169,98.5
davon,nan,nan,nan,nan,nan,nan
SPD,278694,24,334253,17.9,352430,21.6
CDU,232274,20,424321,22.7,287997,17.6
GRÜNE,220998,19.1,234947,12.6,248324,15.2
DIE LINKE,188344,16.2,351170,18.8,255701,15.6
AfD,91759,7.9,225170,12,231492,14.2
PIRATEN,37442,3.2,10894,0.6,28332,1.7
FDP,31953,2.8,167046,8.9,109500,6.7
Tierschutzpartei,18601,1.6,25415,1.4,30620,1.9
Die PARTEI,18532,1.6,39027,2.1,31924,2
NPD,11842,1,x,x,9459,0.6
FAMILIE,6107,0.5,x,x, x ,x
Volksabstimmung,3883,0.3,x,x, x ,x
ÖDP,3674,0.3,3206,0.2,295,0
FREIE WÄHLER,3454,0.3,5354,0.3, x ,x
DKP,3009,0.3,1685,0.1,3473,0.2
REP,2863,0.2,x,x, x ,x
MLPD,1169,0.1,1617,0.1, x ,x
AUF,1095,0.1,x,x, x ,x
PBC,872,0.1,x,x, x ,x
PSG³,745,0.1,473,0,2046,0.1
BüSo,692,0.1,1198,0.1,1286,0.1
PRO NRW,646,0.1,x,x, x ,x
CM,550,0,x,x, x ,x
BP,468,0,x,x, x ,x
Sonstige,x,x,43266,2.3,42290,2.6
