district_name,total,in_sgb_II_communities_of_need,in_sgb_II_communities_of_need_percentage
Mitte,329372,77802,23.6
Friedrichshain-Kreuzberg,255551,46798,18.3
Pankow,342152,32231,9.4
Charlottenburg-Wilmersdorf,260040,31312,12
Spandau,188909,46228,24.5
Steglitz-Zehlendorf,228052,19310,8.5
Tempelhof-Schöneberg,275919,46952,17
Neukölln,271521,70593,26
Treptow-Köpenick,205326,25977,12.7
Marzahn-Hellersdorf,214913,42976,20
Lichtenberg,229916,41575,18.1
Reinickendorf,201086,44246,22
nicht zuordenbar………………,x,10966,x
