feature,european_election_2014,european_election_2014_percentage,federal_election_2017,federal_election_2017_percentage,berlin_election_2016,berlin_election_2016_percentage
Wahlberechtigte,1470613,x,1456319,x,1447006,x
Wähler²,727869,49.5,1099504,75.5,970982,67.1
Briefwähler,214816,29.5,384475,35,299148,30.8
Ungültige Stimmen,11524,1.6,14095,1.3,15379,1.6
Gültige Stimmen,716345,98.4,1085409,98.7,954623,98.4
davon,nan,nan,nan,nan,nan,nan
SPD,185249,25.9,216012,19.9,221408,23.2
CDU,169895,23.7,273033,25.2,199040,20.9
GRÜNE,147785,20.6,153137,14.1,162822,17.1
DIE LINKE,69459,9.7,146770,13.5,96337,10.1
AfD,55198,7.7,109148,10.1,115645,12.1
PIRATEN,21276,3,6644,0.6,15518,1.6
FDP,23660,3.3,117129,10.8,82192,8.6
Tierschutzpartei,11842,1.7,13861,1.3,17326,1.8
Die PARTEI,10635,1.5,19899,1.8,16719,1.8
NPD,5138,0.7,x,x,3382,0.4
FAMILIE,3183,0.4,x,x,x,x
Volksabstimmung,2229,0.3,x,x,x,x
ÖDP,2187,0.3,1908,0.2,97,0
FREIE WÄHLER,2050,0.3,2123,0.2,x,x
DKP,1000,0.1,551,0.1,1170,0.1
REP,1701,0.2,x,x,x,x
MLPD,601,0.1,923,0.1,x,x
AUF,781,0.1,x,x,x,x
PBC,595,0.1,x,x,x,x
PSG³,377,0.1,263,0,1008,0.1
BüSo,376,0.1,725,0.1,607,0.1
PRO NRW,399,0.1,x,x,x,x
CM,377,0.1,x,x,x,x
BP,352,0,x,x,x,x
Sonstige,x,x,23283,2.1,21352,2.2
