district_name,total,below_6,below_6_percentage,between_6_and_18,between_6_and_18_percentage,between_18_and_65,between_18_and_65_percentage,above_65,above_65_percentage,eu_citizens,eu_citizens_percentage
Mitte,383457,23245,6.1,35692,9.3,275666,71.9,48854,12.7,51076,13.3
Friedrichshain-Kreuzberg,289120,18328,6.3,25763,8.9,216057,74.7,28972,10,31127,10.8
Pankow,407039,27585,6.8,43887,10.8,274926,67.5,60641,14.9,24808,6.1
Charlottenburg-Wilmersdorf,341327,16262,4.8,28232,8.3,217131,63.6,79702,23.4,35061,10.3
Spandau,243080,14905,6.1,27506,11.3,147284,60.6,53385,22,18192,7.5
Steglitz-Zehlendorf,308077,15723,5.1,32313,10.5,180598,58.6,79443,25.8,16289,5.3
Tempelhof-Schöneberg,351429,19740,5.6,33681,9.6,224476,63.9,73532,20.9,26812,7.6
Neukölln,330786,20397,6.2,33282,10.1,219215,66.3,57892,17.5,30524,9.2
Treptow-Köpenick,269775,16450,6.1,25191,9.3,168228,62.4,59906,22.2,10274,3.8
Marzahn-Hellersdorf,268739,17198,6.4,29535,11,168184,62.6,53822,20,9120,3.4
Lichtenberg,290493,19224,6.6,28081,9.7,186416,64.2,56772,19.5,13630,4.7
Reinickendorf,264826,15554,5.9,29115,11,157693,59.5,62464,23.6,17263,6.5
