constituency_district,eligible_voters,voters,voter_turnout,valid_votes,party_spd,party_cdu,party_grüne,party_die_linke,party_afd,party_fdp,others
1,28031,19045.0,67.9,19318.0,20.3,8.6,33.0,17.7,5.3,4.7,10.3
2,26903,18337.0,68.2,18475.0,16.1,5.5,35.5,23.3,3.7,3.0,12.9
3,28382,17472.0,61.6,17355.0,20.0,8.2,29.6,21.0,5.7,3.7,11.8
4,29911,20513.0,68.6,20209.0,19.8,9.2,16.2,29.2,11.2,4.1,10.3
5,29928,21545.0,72.0,20856.0,16.9,7.5,27.6,25.0,6.0,3.8,13.3
6,27753,20110.0,72.5,19392.0,16.4,7.9,29.3,23.3,6.1,4.2,12.8
