constituency_district,total,germans_above_16_female,germans_above_16_female_percentage,foreigners_from_eu,foreigners_from_eu_percentage,between_16_and_18,between_16_and_18_percentage
1,36327,17854.0,49.1,1747.0,4.8,789.0,2.2
2,35375,17303.0,48.9,1639.0,4.6,688.0,1.9
3,38043,17801.0,46.8,3418.0,9.0,584.0,1.5
4,37375,17445.0,46.7,3227.0,8.6,582.0,1.6
5,36532,17401.0,47.6,2520.0,6.9,472.0,1.3
6,33121,16667.0,50.3,1513.0,4.6,694.0,2.1
