constituency_district,total,germans_above_16_female,germans_above_16_female_percentage,foreigners_from_eu,foreigners_from_eu_percentage,between_16_and_18,between_16_and_18_percentage
1,39104,18723.0,47.9,2954.0,7.6,558.0,1.4
2,38772,18479.0,47.7,2474.0,6.4,644.0,1.7
3,37936,18431.0,48.6,1871.0,4.9,765.0,2.0
4,38603,18988.0,49.2,1766.0,4.6,646.0,1.7
5,31047,15861.0,51.1,812.0,2.6,522.0,1.7
6,35290,18566.0,52.6,765.0,2.2,620.0,1.8
