constituency_district,total,between_18_and_25,between_18_and_25_percentage,between_25_and_35,between_25_and_35_percentage,between_35_and_45,between_35_and_45_percentage,between_45_and_60,between_45_and_60_percentage,between_60_and_70,between_60_and_70_percentage,70_and-above,70_and-above_percentage
1,28062,2741,9.8,5311,18.9,4088,14.6,6366,22.7,4124,14.7,5432,19.4
2,28436,2479,8.7,4446,15.6,3833,13.5,6654,23.4,4493,15.8,6531,23.0
3,30143,2004,6.6,2765,9.2,3669,12.2,7786,25.8,5351,17.8,8568,28.4
4,33619,2498,7.4,4501,13.4,4177,12.4,8169,24.3,5342,15.9,8932,26.6
5,26615,2824,10.6,3505,13.2,3420,12.8,5818,21.9,4083,15.3,6965,26.2
6,27832,1938,7.0,1901,6.8,3097,11.1,7425,26.7,4779,17.2,8692,31.2
