electoral_district_id,electoral_district_name,eligible_voters,voters,valid_second_votes,party_cdu,party_die_linke,party_spd,party_grüne,party_afd,party_fdp,others
75.0,Berlin-Mitte,206706,151412.0,149443.0,27861.0,32118.0,26788.0,25708.0,12289.0,12972.0,11707.0
76.0,Berlin-Pankow,237071,188499.0,186652.0,36994.0,43774.0,29185.0,26651.0,23315.0,12321.0,14412.0
77.0,Berlin-Reinickendorf,182398,137240.0,135105.0,41912.0,11516.0,27071.0,12305.0,18513.0,15376.0,8412.0
78.0,Berlin-Spandau –Charlottenburg Nord,184608,133009.0,130747.0,36712.0,12780.0,29733.0,11063.0,18481.0,12927.0,9051.0
79.0,Berlin-Steglitz-Zehlendorf,221210,180720.0,178957.0,53281.0,16352.0,34279.0,25361.0,15824.0,25461.0,8399.0
80.0,Berlin-Charlottenburg-Wilmersdorf,198672,158034.0,156647.0,40085.0,18367.0,30351.0,24770.0,12374.0,23280.0,7420.0
81.0,Berlin-Tempelhof-Schöneberg,235250,181159.0,179081.0,44721.0,23625.0,36179.0,27956.0,17108.0,18569.0,10923.0
82.0,Berlin-Neukölln,202618,143553.0,141413.0,31592.0,25752.0,27520.0,18446.0,15904.0,10891.0,11308.0
83.0,Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost,223427,173289.0,171744.0,23887.0,49016.0,27391.0,35077.0,10863.0,10147.0,15363.0
84.0,Berlin-Treptow - Köpenick,205106,157111.0,155188.0,31372.0,39000.0,24109.0,12168.0,26278.0,10067.0,12194.0
85.0,Berlin-Marzahn - Hellersdorf,200704,138992.0,136939.0,28620.0,35698.0,19797.0,5621.0,29618.0,7290.0,10295.0
86.0,Berlin-Lichtenberg,205300,149116.0,147126.0,27284.0,43172.0,21850.0,9821.0,24603.0,7745.0,12651.0
