electoral_district_id,electoral_district_name,eligible_voters,voters,valid_first_votes,party_cdu,party_die_linke,party_spd,party_grüne,party_afd,party_fdp,others
75,Berlin-Mitte,x,73.2,98.5,18.6,20.5,23.5,18,7.9,6,5.6
76,Berlin-Pankow,x,79.5,98.8,19.6,28.8,16.4,14.2,12.1,4.2,4.8
77,Berlin-Reinickendorf,x,75.2,98.3,36.8,7.7,23.6,7.9,13.2,7.2,3.6
78,Berlin-Spandau –Charlottenburg Nord,x,72,98.2,30.9,7.6,32.1,6.2,13.4,6.4,3.4
79,Berlin-Steglitz-Zehlendorf,x,81.7,98.7,35.4,7.5,24.6,12.7,8.2,9.1,2.6
80,Berlin-Charlottenburg-Wilmersdorf,x,79.5,98.8,30.2,9.4,27.6,13.6,7.5,9.2,2.4
81,Berlin-Tempelhof-Schöneberg,x,77,98.6,28.9,10.8,22,18.9,9.1,6.4,3.9
82,Berlin-Neukölln,x,70.8,98.3,24.5,16.4,26.8,11,10.7,5.1,5.5
83,Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost,x,77.6,98.9,12.2,24.9,16.9,26.3,6.2,3.1,10.4
84,Berlin-Treptow - Köpenick,x,76.6,98.8,18.9,39.9,13.8,5,15,3.8,3.7
85,Berlin-Marzahn - Hellersdorf,x,69.3,98.4,22.3,34.2,12.6,3.2,20.6,3.5,3.6
86,Berlin-Lichtenberg,x,72.6,98.6,19.7,34.8,14.1,5.9,15.7,3.4,6.4
