electoral_district_id,electoral_district_name,total,female_percentage,migration_background_percentage,single_percentage,married_percentage,widowed_percentage,divorced_percentage,civil_partnership_percentage,protestant_percentage,catholic_percentage,comparison_to_2021
Berlin-Mitte,204369,49.2,23.7,54.2,30.4,4.8,9.9,0.7,16.9,9,-0.5,Berlin-Mitte
Berlin-Pankow,232612,51.9,7.3,45.1,38.3,5.9,10.1,0.5,13.1,5.9,-0.8,Berlin-Pankow
Berlin-Reinickendorf,173228,52.2,15.2,34,44.5,9.3,11.9,0.2,25.5,8.9,-1.9,Berlin-Reinickendorf
Berlin-Spandau –Charlottenburg Nord,177319,52.2,18.6,36.5,41.6,9,12.6,0.2,24.2,8.8,-1.6,Berlin-Spandau –Charlottenburg Nord
Berlin-Steglitz-Zehlendorf,214043,54,12.5,33.7,45.7,8.7,11.6,0.3,27.3,10.2,-1.3,Berlin-Steglitz-Zehlendorf
Berlin-Charlottenburg-Wilmersdorf,194268,53,19,41.3,38.6,7.1,12.2,0.7,21.7,10.2,-0.8,Berlin-Charlottenburg-Wilmersdorf
Berlin-Tempelhof-Schöneberg,228750,52.3,17.9,40.7,39.8,7.5,11.2,0.7,22.7,10.2,-0.8,Berlin-Tempelhof-Schöneberg
Berlin-Neukölln,193106,51.5,22.3,45,36.8,7.4,10.4,0.4,20.2,8.9,-1.7,Berlin-Neukölln
Berlin-Friedrichshain-Kreuzberg –Prenzlauer Berg Ost,216327,49.8,17.3,57.7,28.7,3.9,8.9,0.7,13.8,7.6,-0.9,Berlin-Friedrichshain-Kreuzberg –Prenzlauer Berg Ost
Berlin-Treptow-Köpenick,206176,51.9,6.2,39.1,41.2,8.3,11.1,0.3,10.5,4,-0.3,Berlin-Treptow-Köpenick
Berlin-Marzahn-Hellersdorf,197233,51.3,8.2,35.3,44.5,7.8,12.2,0.2,7.8,3.1,-0.4,Berlin-Marzahn-Hellersdorf
Berlin-Lichtenberg,197100,51.5,9.2,42.8,37.6,7.9,11.3,0.3,8.4,3.8,-1.7,Berlin-Lichtenberg
